id;Year;Title;WorldwideBox_office;DomesticBox_office;InternationalBox_office;production_cost;Runtime;release_date;Genre_1;Genre_2;Genre_3;original_language;popularity;Production_Companies;vote_average;vote_count;Cast;Director;IMDB_Rating;Metascore
245916;2014;Kill the Messenger;5200000;24508460;;5000000;112;10;Crime;Drama;Mystery;en;13495;The Combine;6633;814;Jeremy Renner, Robert Patrick, Jena Sims;Michael Cuesta;690;600
246403;2014;Tusk;1882074;18267050;;3000000;102;9;Comedy;Horror;;en;45133;Phase 4 Films;5468;1315;Justin Long, Michael Parks, Haley Joel Osment;Kevin Smith;530;550
246655;2016;X-Men: Apocalypse;543934787;1554424890;;178000000;144;5;Action;Adventure;Science Fiction;en;110644;The Donners' Company;65;12558;James McAvoy, Michael Fassbender, Jennifer Lawrence;Bryan Singer;690;520
248774;2014;Obvious Child;3123963;31239630;;0;85;6;Comedy;Romance;;en;1145;Sundial Pictures;651;413;Jenny Slate, Jake Lacy, Gaby Hoffmann;Gillian Robespierre;670;760
249164;2014;If I Stay;78300000;504748430;;11000000;106;8;Drama;;;en;26473;New Line Cinema;7374;4090;Chloë Grace Moretz, Mireille Enos, Jamie Blackley;R.J. Cutler;670;460
250124;2015;The Diary of a Teenage Girl;1477002;14770020;;2000000;102;8;Drama;Romance;;en;25616;Archer Gray;66;696;Bel Powley, Alexander Skarsgård, Kristen Wiig;Marielle Heller;680;870
250546;2014;Annabelle;257000000;842842520;;6500000;99;10;Horror;;;en;41412;Atomic Monster;5771;5904;Ward Horton, Annabelle Wallis, Alfre Woodard;John R. Leonetti;540;370
251321;2014;Aloft;53086;530860;;8000000;112;2;Drama;;;en;12266;Buffalo Gal Pictures;55;119;Jennifer Connelly, Cillian Murphy, Mélanie Laurent;Claudia Llosa;530;340
252680;2014;Moms' Night Out;10429707;104297070;;5000000;98;3;Comedy;;;en;16935;TriStar Pictures;5625;283;Sarah Drew, Sean Astin, Patricia Heaton;Andrew Erwin, Jon Erwin;530;250
253235;2014;And So It Goes;25312387;151608010;;18000000;94;7;Comedy;Drama;Romance;en;10556;Castle Rock Entertainment;61;438;Michael Douglas, Diane Keaton, Sterling Jerins;Rob Reiner;590;380
