Title;Director;Cast;Genre;IMDB_Rating;Metascore;Runtime;Votes;Year
Without Limits;Robert Towne;Billy Crudup, Donald Sutherland, Monica Potter, Jeremy Sisto;;;;;;1998
White Men Can't Jump;Ron Shelton;Wesley Snipes, Woody Harrelson, Rosie Perez, Tyra Ferrell;Comedy;68;650;115;849590;1992
Safety;Reginald Hudlin;Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave;;;;;;2020
Breath;Simon Baker;Simon Baker, Samson Coulter, Ben Spence, Elizabeth Debicki;Drama;34;;106;2880;2017
Rudy;David Anspaugh;Sean Astin, Ned Beatty, Charles S. Dutton, Robert Prosky;Drama;75;710;114;626200;1993
The Short Game;Josh Greenbaum;Jack Nicklaus, Gary Player, Annika Sörenstam;;;;;;2013
Once in a Lifetime: The Extraordinary Story of the New York Cosmos;Paul Crowder;Matt Dillon;;;;;;2006
The Longest Yard;Robert Aldrich;Burt Reynolds, Eddie Albert, Ed Lauter, Michael Conrad;Comedy;64;480;113;1763750;1974
Step Into Liquid;Dana Brown;Dana Brown;;;;;;2003
He Got Game;Spike Lee;Denzel Washington, Ray Allen, Milla Jovovich, Rosario Dawson;Drama;69;640;136;476940;1998
Seabiscuit;Gary Ross;Tobey Maguire, Jeff Bridges, Chris Cooper, Elizabeth Banks;Drama;73;720;140;723900;2003
Rocky Balboa;Sylvester Stallone;Sylvester Stallone, Burt Young, Antonio Tarver, Geraldine Hughes;Drama;71;630;102;2140350;2006
The Boxer;Jim Sheridan;Daniel Day-Lewis, Emily Watson, Brian Cox, Ken Stott;;;;;;1997
Beyond the Mat;Barry W. Blaustein;Terry Funk, Mick Foley, Jake Roberts, Vince McMahon;;;;;;1999
Miracle;Gavin O'Connor;Kurt Russell, Patricia Clarkson, Noah Emmerich, Sean McCann;Drama;74;680;135;538780;2004
Invictus;Clint Eastwood;Morgan Freeman, Matt Damon, Tony Kgoroge, Patrick Mofokeng;Drama;73;740;134;1580390;2009
Major League;David S. Ward;Tom Berenger, Charlie Sheen, Corbin Bernsen, Margaret Whitton;Comedy;72;620;107;682360;1989
Goon;Michael Dowse;Seann William Scott, Jay Baruchel, Alison Pill, Marc-André Grondin;Comedy;68;640;92;868710;2011
Pelotero;Ross Finkel;John Alberto Leguizamo;;;;;;2011
North Dallas Forty;Ted Kotcheff;Nick Nolte, Mac Davis, Charles Durning, Dayle Haddon;Comedy;69;800;119;52970;1979
The Natural;Barry Levinson;Robert Redford, Robert Duvall, Glenn Close, Kim Basinger;Drama;74;610;138;485210;1984
The World's Fastest Indian;Roger Donaldson;Anthony Hopkins, Bruce Greenwood, Diane Ladd, Paul Rodriguez;Drama;78;680;127;545560;2005
The Armstrong Lie;Alex Gibney;Alex Gibney, Lance Armstrong, Reed Albergotti, Daniel Coyle;;;;;;2013
Cinderella Man;Ron Howard;Russell Crowe, Renée Zellweger, Paul Giamatti, Craig Bierko;Drama;80;690;144;1854200;2005
The Other Dream Team;Marius A. Markevicius;;;;;;;2012
Looking for Eric;Ken Loach;Steve Evets, Éric Cantona, Stephanie Bishop, Gerard Kearns;;;;;;2009
The Rookie;John Lee Hancock;Dennis Quaid, Rachel Griffiths, Jay Hernandez, Beth Grant;Drama;80;;43;350260;2002
Slap Shot;George Roy Hill;Paul Newman, Michael Ontkean, Lindsay Crouse, Strother Martin;Drama;73;610;123;371330;1977
Downhill Racer;Michael Ritchie;Robert Redford, Gene Hackman, Camilla Sparv, Karl Michael Vogler;;;;;;1969
The Hurricane;Norman Jewison;Denzel Washington, Vicellous Reon Shannon, Deborah Kara Unger, Liev Schreiber;;;;;;1999
Big Fan;Robert D. Siegel;Patton Oswalt, Kevin Corrigan, Marcia Jean Kurtz, Michael Rapaport;;;;;;2009
Happy Valley;Amir Bar-Lev;Joe Posnanski;Drama;85;;58;386450;2014
Jerry Maguire;Cameron Crowe;Tom Cruise, Cuba Gooding Jr., Renee Zellweger, Kelly Preston;Comedy;73;770;139;2599270;1996
Early Man;Nick Park;Eddie Redmayne, Tom Hiddleston, Maisie Williams, Miriam Margolyes;Adventure;61;680;89;219050;2018
42;Brian Helgeland;Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni;Drama;75;620;128;936160;2013
Fire in Babylon;Stevan Riley;Colin Croft, Joel Garner, Tony Greig, Desmond Haynes;;;;;;2010
Chariots of Fire;Hugh Hudson;Ben Cross, Ian Charleson, John Gielgud, Nigel Havers;Drama;71;780;125;595090;1981
Tyson;James Toback;Mike Tyson;;;;;;2008
Bend It Like Beckham;Gurinder Chadha;Parminder Nagra, Keira Knightley, Anupam Kher, Archie Panjabi;Comedy;67;660;112;1097600;2002
The Heart of the Game;Ward Serrill;;;;;;;2005
Warrior;Gavin O'Connor;Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison;Drama;82;710;140;4634310;2011
Eight Men Out;John Sayles;John Cusack, Clifton James, Michael Lerner, Christopher Lloyd;;;;;;1988
Eddie the Eagle;Dexter Fletcher;Taron Egerton, Hugh Jackman, Jo Hartley, Tom Costello;Comedy;73;540;106;921160;2016
Whip It;Drew Barrymore;Ellen Page, Marcia Gay Harden, Kristen Wiig, Drew Barrymore;Drama;69;680;111;669260;2009
Meru;Jimmy Chin;Jon Krakauer, Jimmy Chin, Renan Ozturk, Grace Chin;;;;;;2015
John McEnroe: In the Realm of Perfection;Julien Faraut;Mathieu Amalric, John McEnroe;;;;;;2018
Up for Grabs;Michael Wranovics;;;;;;;2004
Girlfight;Karyn Kusama;Michelle Rodriguez, Jaime Tirelli, Paul Calderon, Santiago Douglas;;;;;;2000
Field of Dreams;Phil Alden Robinson;Kevin Costner, Amy Madigan, James Earl Jones, Gaby Hoffman;Drama;75;570;107;1173270;1989
Harvard Beats Yale 29-29;Kevin Rafferty;;;;;;;2008
Heaven Can Wait;Warren Beatty;Warren Beatty, Julie Christie, Jack Warden, James Mason;Comedy;69;720;101;210150;1978
Diego Maradona;Asif Kapadia;Diego Armando Maradona;;;;;;2019
The Way Back;Gavin O'Connor;Ben Affleck, Al Madrigal, Janina Gavankar, Jeremy Radin;Drama;73;660;133;1156040;2020
Dream Horse;Euros Lyn;Toni Collette, Damian Lewis, Owen Teale, Joanna Page;Comedy;69;680;113;48940;2020
The Color of Money;Martin Scorsese;Paul Newman, Tom Cruise, Mary Elizabeth Mastrantonio, Helen Shaver;Drama;70;770;119;820790;1986
Dogtown and Z-Boys;Stacy Peralta;Sean Penn, Jay Adams, Tony Alva, Bob Biniak;;;;;;2001
Riding Giants;Stacy Peralta;Darrick Doerner, Laird John Hamilton, Dave Kalama, Brian L. Keaulana;;;;;;2004
A Prayer Before Dawn;Jean-Stéphane Sauvaire;Joe Cole, Billy Moore, Pornchanok Mabklang, Panya Yimmumphai;;;;;;2017
Pumping Iron;George Butler;Arnold Schwarzenegger, Lou Ferrigno, Roger Callard, Franco Columbu;;;;;;1977
Bang the Drum Slowly;John D. Hancock;Robert De Niro, Michael Moriarty, Vincent Gardenia, Phil Foster;;;;;;1973
Red Army;Gabe Polsky;Scotty Bowman, Viacheslav Fetisov, Anatoli Karpov, Alexei Kasatonov;;;;;;2014
Senna;Asif Kapadia;Alain Prost, Frank Williams, Ron Dennis, Viviane Senna;;;;;;2010
The Crash Reel;Lucy Walker;Kevin Pearce, Shaun White, Mason Aguirre, Dr. Daniel Amen;;;;;;2013
The Damned United;Tom Hooper;Michael Sheen, Timothy Spall, Jim Broadbent, Stephen Graham;;;;;;2009
Offside;Jafar Panahi;Sima Mobarakshai, Safar Samandar, Shayesteh Irani, Mohamad Kheirabadi;;;;;;2006
No No: A Dockumentary;Jeff Radice;Larry Demery, Dock Ellis, Ron Howard;;;;;;2014
Lagaan: Once Upon a Time in India;Ashutosh Gowariker;Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne;;;;;;2001
One Day in September;Kevin Macdonald;Michael Douglas, Ankie Spitzer, Jamal Al-Gashey, Gerald Seymour;;;;;;1999
Touching the Void;Kevin Macdonald;Brendan Mackey, Nicholas Aaron, Richard Hawking, Joe Simpson;Adventure;80;820;106;356280;2003
Deep Water;Louise Osmond;Tilda Swinton;Drama;54;530;115;348650;2006
Sugar;Anna Boden;Algenis Perez Soto, Rayniel Rufino, Andre Holland, Michael Gaston;;;;;;2008
The Pride of the Yankees;Sam Wood;Gary Cooper, Teresa Wright, Babe Ruth, Walter Brennan;;;;;;1942
The Life and Times of Hank Greenberg;Aviva Kempner;Hank Greenberg, Alan Dershowitz, Bob Feller, Charlie Gehringer;;;;;;1999
Million Dollar Baby;Clint Eastwood;Clint Eastwood, Hilary Swank, Morgan Freeman, Anthony Mackie;Drama;81;860;132;6753720;2004
Breaking Away;Peter Yates;Dennis Christopher, Dennis Quaid, Daniel Stern, Jackie Earle Haley;Comedy;77;910;101;234410;1979
Rush;Ron Howard;Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara;Drama;81;740;123;4686080;2013
The Fighter;David O. Russell;Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo;Drama;78;790;116;3601090;2010
Foxcatcher;Bennett Miller;Steve Carell, Channing Tatum, Mark Ruffalo, Vanessa Redgrave;Drama;70;810;134;1415210;2014
Creed II;Steven Caple Jr.;Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad;Drama;71;660;130;1209790;2018
The Bad News Bears;Michael Ritchie;Walter Matthau, Tatum O'Neal, Vic Morrow, Joyce Van Patten;Comedy;73;840;102;225770;1976
When We Were Kings;Leon Gast;Muhammad Ali, George Foreman, Don King, B.B. King;;;;;;1996
The Happiest Day in the Life of Olli Mäki;Juho Kuosmanen;Jarkko Lahti, Eero Milonoff, Oona Airola, Joonas Saartamo;;;;;;2016
Racing Dreams;Marshall Curry;Annabeth Barnes;;;;;;2009
The Hustler;Robert Rossen;Paul Newman, Jackie Gleason, George C. Scott, Piper Laurie;Drama;80;900;134;810840;1961
Undefeated;Dan Lindsay;Bill Courtney;;;;;;2011
The King of Kong: A Fistful of Quarters;Seth Gordon;Steve Wiebe, Mark Alpiger, Walter Day, Steve Sanders;;;;;;2007
Win Win;Tom McCarthy;Paul Giamatti, Amy Ryan, Bobby Cannavale, Jeffrey Tambor;;;;;;2011
Next Goal Wins;Mike Brett;Thomas Rongen, Jaiyah Saelua, Nicky Salapu, Gene Ne'emia;Comedy;;;97;;2014
Rocky;John G. Avildsen;Sylvester Stallone, Talia Shire, Burgess Meredith, Burt Young;Drama;81;700;120;5600260;1976
Horse Feathers;Norman Z. McLeod;Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx;;;;;;1932
Changing the Game;Michael Barnett;Mack Beggs, Sarah Rose Huckman, Andraya Yearwood;;;;;;2019
Murderball;Henry Alex Rubin;;;;;;;2005
Raging Bull;Martin Scorsese;Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent;Drama;82;890;129;3461170;1980
The Endless Summer;Bruce Brown;Bruce Brown;;;;;;1966
Bull Durham;Ron Shelton;Kevin Costner, Susan Sarandon, Tim Robbins, Trey Wilson;Comedy;70;730;108;537170;1988
Maiden;Alex Holmes;Tracy Edwards, Nancy Harris, John Chittenden, Bruno De Bois;;;;;;2018
National Velvet;Clarence Brown;Mickey Rooney, Elizabeth Taylor, Donald Crisp, Anne Revere;;;;;;1944
Moneyball;Bennett Miller;Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright;Drama;76;870;133;4110150;2011
Free Solo;Elizabeth Chai Vasarhelyi;Alex Honnold, Tommy Caldwell, Sanni McCandless, Jimmy Chin;Adventure;81;830;100;653860;2018
Fighting With My Family;Stephen Merchant;Florence Pugh, Lena Headey, Nick Frost, Jack Lowden;;;;;;2019
The Wrestler;Darren Aronofsky;Mickey Rourke, Marisa Tomei, Evan Rachel Wood, Mark Margolis;Drama;79;800;109;3024040;2008
I Tonya;Craig Gillespie;;Comedy;75;770;119;2088750;2017
Creed;Ryan Coogler;Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad;Drama;76;820;133;2672920;2015
Ford v Ferrari;James Mangold;Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe;Drama;81;810;152;3668060;2019
The Fall;Tarsem;Lee Pace, Catinca Untaru, Justine Waddell, Robin Smith;Drama;81;;60;1018270;2006
Solomon Kane;Michael J. Bassett;James Purefoy, Max von Sydow, Rachel Hurd-Wood, Alice Krige;Horror;61;480;104;732240;2009
Conan the Barbarian;John Milius;Arnold Schwarzenegger, James Earl Jones, Sandahl Bergman, Gerry Lopez;Adventure;69;430;129;1468040;1982
The Forbidden Kingdom;Rob Minkoff;Jackie Chan, Jet Li, Michael Angarano, Crystal Liu;Adventure;65;570;104;1052390;2008
Ladyhawke;Richard Donner;Matthew Broderick, Rutger Hauer, Michelle Pfeiffer, Leo McKern;Comedy;69;640;121;468280;1985
The Imaginarium of Doctor Parnassus;Terry Gilliam;Heath Ledger, Christopher Plummer, Verne Troyer, Andrew Garfield;Comedy;68;650;123;1487490;2009
Clash of the Titans;Desmond Davis;Harry Hamlin, Laurence Olivier, Judi Bowker, Claire Bloom;Adventure;58;390;106;2803920;1981
Godmothered;Sharon Maguire;Isla Fisher, Jillian Bell, Santiago Cabrera, Mary Elizabeth Ellis;Comedy;61;490;110;122020;2020
The Chronicles of Narnia: Prince Caspian;Andrew Adamson;Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell;Adventure;65;620;150;2074950;2008
Sleepy Hollow;Tim Burton;Johnny Depp, Christina Ricci, Miranda Richardson, Michael Gambon;Drama;73;;45;604020;1999
The Hobbit: An Unexpected Journey;Peter Jackson;Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott;Adventure;78;580;169;8038880;2012
The House With a Clock in Its Walls;Eli Roth;Jack Black, Cate Blanchett, Owen Vaccaro, Kyle MacLachlan;;;;;;2018
The Witches of Eastwick;George Miller;Jack Nicholson, Cher, Susan Sarandon, Michelle Pfeiffer;Comedy;65;670;118;688820;1987
Nanny McPhee;Kirk Jones;Emma Thompson, Colin Firth, Kelly Macdonald, Derek Jacobi;Comedy;66;590;97;753470;2005
Nanny McPhee Returns;Susanna White;Emma Thompson, Maggie Gyllenhaal, Rhys Ifans, Maggie Smith;Comedy;61;520;109;322900;2010
Miss Peregrine's Home for Peculiar Children;Tim Burton;Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench;Drama;67;570;127;1688140;2016
Into the Woods;Rob Marshall;Meryl Streep, Emily Blunt, James Corden, Anna Kendrick;Comedy;59;690;125;1398180;2014
Peter Pan;P.J. Hogan;Jason Isaacs, Jeremy Sumpter, Rachel Hurd-Wood, Olivia Williams;Adventure;68;640;113;721320;2003
The City of Lost Children;Marc Caro;Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon;Drama;75;730;112;681300;1995
The Dark Crystal;Jim Henson;John Baddeley, Stephen Garlick, David Buck, Barry Dennen;Adventure;71;660;93;659930;1982
The Hobbit: The Desolation of Smaug;Peter Jackson;Ian McKellen, Martin Freeman, Richard Armitage, Benedict Cumberbatch;Adventure;78;660;161;6429900;2013
Where the Wild Things Are;Spike Jonze;Catherine Keener, Max Records, Mark Ruffalo, James Gandolfini;Drama;67;710;101;1044860;2009
Excalibur;John Boorman;Nicol Williamson, Nigel Terry, Helen Mirren, Nicholas Clay;Drama;73;560;140;612800;1981
The Chronicles of Narnia: The Lionm, the Witch and the Wardrobe;Andrew Adamson;;Adventure;69;750;143;3906420;2005
The Extraordinary Adventures of Adèle Blanc-Sec;Luc Besson;Louise Bourgoin, Mathieu Amalric, Gilles Lellouche, Jean-Paul Rouve;Adventure;62;;107;211280;2010
Dragonslayer;Matthew Robbins;Peter MacNicol, Caitlin Clarke, Ralph Richardson, John Hallam;Adventure;66;680;109;178470;1981
The Holy Mountain;Alexandro Jodorowsky;Alexandro Jodorowsky, Horacio Salinas, Ramona Saunders;Drama;78;760;114;420370;1973
The Spiderwick Chronicles;Mark Waters;Freddie Highmore, Sarah Bolger, Mary-Louise Parker, David Strathairn;Drama;65;620;96;947510;2008
Jumanji: The Next Level;Jake Kasdan;Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan;Adventure;67;580;123;2385370;2019
Pinocchio;Matteo Garrone;Roberto Benigni, Federico Ielapi, Gigi Proietti, Rocco Papaleo;Comedy;;;;;2019
Tale of Tales;Matteo Garrone;Salma Hayek, Vincent Cassel, Toby Jones, John C. Reilly;Drama;64;720;134;283520;2015
Harry Potter and the Deathly Hallows: Part 1;David Yates;Daniel Radcliffe, Rupert Grint, Emma Watson, Ralph Fiennes;Adventure;77;650;146;5313750;2010
Harry Potter and the Order of the Phoenix;David Yates;Daniel Radcliffe, Rupert Grint, Emma Watson, Helena Bonham Carter;Adventure;75;710;138;5640620;2007
Harry Potter and the Sorcerer's Stone;Chris Columbus;Daniel Radcliffe, Rupert Grint, Emma Watson, John Cleese;Adventure;76;650;152;7524830;2001
Harry Potter and the Chamber of Secrets;Chris Columbus;Daniel Radcliffe, Rupert Grint, Emma Watson, Kenneth Branagh;Adventure;74;630;161;6151210;2002
Matilda;Danny DeVito;Mara Wilson, Danny DeVito, Rhea Perlman, Embeth Davidtz;Comedy;69;720;102;1465060;1996
Charlie and the Chocolate Factory;Tim Burton;Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter;Comedy;66;720;115;4662470;2005
Bridge to Terabithia;Gabor Csupo;Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick;Drama;72;740;96;1540750;2007
Jason and the Argonauts;Don Chaffey;Todd Armstrong, Nancy Kovack, Gary Raymond, Honor Blackman;Adventure;59;;180;52350;1963
Time Bandits;Terry Gilliam;John Cleese, Sean Connery, Shelley Duvall, Katherine Helmond;Comedy;69;790;110;629470;1981
The BFG;Steven Spielberg;Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement;Adventure;63;660;117;847610;2016
Cinderella;Kenneth Branagh;Cate Blanchett, Lily James, Richard Madden, Helena Bonham-Carter;Comedy;42;410;113;398790;2015
Jingle Jangle: A Christmas Journey;David E. Talbert;Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose;;;;;;2020
Edward Scissorhands;Tim Burton;Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall;Drama;79;740;105;4777010;1990
Harry Potter and the Half-Blood Prince;David Yates;Daniel Radcliffe, Rupert Grint, Emma Watson, Helena Bonham Carter;Adventure;76;780;153;5280700;2009
Willy Wonka and the Chocolate Factory;Mel Stuart;Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear;;;;;;1971
The Witches;Nicolas Roeg;Anjelica Huston, Mai Zetterling, Jasen Fisher, Rowan Atkinson;Comedy;53;470;106;383420;1990
Fantastic Beasts and Where to Find Them;David Yates;Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol;Adventure;72;660;132;4601420;2016
The Adventures of Baron Munchausen;Terry Gilliam;John Neville, Eric Idle, Sarah Polley, Oliver Reed;Comedy;71;690;126;532110;1989
Harry Potter and the Goblet of Fire;Mike Newell;Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane;Adventure;77;810;157;6076650;2005
The Spirit of the Beehive;Víctor Erice;Fernando Fernán Gómez, Teresa Gimpera, Ana Torrent, Isabel Tellería;;;;;;1973
Snow White;Pablo Berger;Maribel Verdú, Daniel Giménez Cacho, Ángela Molina, Pere Ponce;;;;;;2012
Orpheus;Jean Cocteau;Jean Marais, María Casares, François Périer, Marie Déa;;;;;;1950
Beauty and the Beast;Bill Condon;Emma Watson, Dan Stevens, Luke Evans, Kevin Kline;Drama;70;;60;69320;2017
The Seventh Seal;Ingmar Bergman;Max von Sydow, Gunnar Björnstrand, Nils Poppe, Bibi Andersson;Drama;81;880;96;1817930;1957
Harry Potter and the Prisoner of Azkaban;Alfonso Cuarón;Daniel Radcliffe, Rupert Grint, Emma Watson, Gary Oldman;Adventure;79;820;142;6143680;2004
The Thief of Bagdad;Raoul Walsh;Douglas Fairbanks, Snitz Edwards, Charles Belcher, Julanne Johnston;Adventure;74;;106;131590;1924
Enchanted;Kevin Lima;Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall;Comedy;71;750;107;1950950;2007
Who Framed Roger Rabbit;Robert Zemeckis;Bob Hoskins, Christopher Lloyd, Joanna Cassidy, Stubby Kaye;Comedy;77;830;104;1967770;1988
Mary Poppins;Robert Stevenson;Julie Andrews, Dick Van Dyke, Glynis Johns, David Tomlinson;Comedy;78;880;139;1693250;1964
Mary Poppins Returns;Rob Marshall;Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer;Comedy;67;660;130;865840;2018
Pete's Dragon;David Lowery;Bryce Dallas Howard, Oakes Fegley, Wes Bentley, Karl Urban;Comedy;67;710;102;578460;2016
Ugetsu;Kenji Mizoguchi;Machiko Kyō, Masayuki Mori, Kinuyo Tanaka, Sakae Ozawa;;;;;;1953
The Lord of the Rings: The Return of the King;Peter Jackson;Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen;Drama;90;940;201;17774160;2003
The Lord of the Rings: The Two Towers;Peter Jackson;Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen;Drama;88;870;179;16052870;2002
The Green Knight;David Lowery;Dev Patel, Alicia Vikander, Joel Edgerton, Sarita Choudhury;Drama;66;850;130;912630;2021
Pan's Labyrinth;Guillermo del Toro;Sergi López, Maribel Verdú, Ivana Baquero, Álex Angulo;Drama;82;980;118;6562280;2006
A Monster Calls;J.A. Bayona;Lewis MacDougall, Sigourney Weaver, Felicity Jones, Toby Kebbell;Drama;74;760;108;872120;2016
Harry Potter and the Deathly Hallows: Part 2;David Yates;Daniel Radcliffe, Rupert Grint, Emma Watson, Ralph Fiennes;Adventure;81;850;130;8460200;2011
Toy Story 2;Ash Brannon;Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer;Comedy;79;880;92;5661630;1999
Toy Story;John Lasseter;Tom Hanks, Tim Allen, Don Rickles, Jim Varney;Comedy;83;950;81;9635590;1995
Finding Nemo;Andrew Stanton;Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe;Comedy;82;900;100;10171920;2003
How to Train Your Dragon;Chris Sanders;Jay Baruchel, Gerard Butler, America Ferrera, Jonah Hill;Comedy;81;750;98;7199930;2010
Inside Out;Pete Docter;Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader;Comedy;82;940;95;6877830;2015
Toy Story 3;Lee Unkrich;Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty;Comedy;83;920;103;8137050;2010
Zootopia;Byron Howard;Ginnifer Goodwin, Jason Bateman, Shakira, Idris Elba;Comedy;80;780;108;4817710;2016
Up;Pete Docter;Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson;Comedy;83;880;96;10139000;2009
Toy Story 4;Josh Cooley;Tom Hanks, Tim Allen, Annie Potts, Tony Hale;Comedy;77;840;100;2382130;2019
Spider-Man: Into the Spider-Verse;Bob Persichetti;Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali;Comedy;84;870;117;4899350;2018
Coco;Lee Unkrich;Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach;Adventure;84;810;105;4770340;2017
The Incredibles;Brad Bird;Craig T. Nelson, Holly Hunter, Samuel L. Jackson, Jason Lee;Adventure;80;900;115;7101800;2004
The Mitchells vs. the Machines;Mike Rianda;Abbi Jacobson, Danny McBride, Maya Rudolph, Mike Rianda;;;;;;2021
The LEGO Movie;Phil Lord;Chris Pratt, Will Ferrell, Morgan Freeman, Elizabeth Banks;;;;;;2014
Ratatouille;Brad Bird;Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy;Comedy;81;960;111;7033490;2007
Monsters,  Inc.;Pete Docter;Monsters Incorporated is the largest scare factory in the monster world, and James P. Sullivan (John Goodman) is one of...;Comedy;81;790;92;8831900;2001
Soul;Pete Docter;"Jamie Foxx, Tina Fey, Phylicia Rashad, Ahmir ""Questlove"" Thompson";Comedy;80;830;100;3091240;2020
Moana;John Musker;Dwayne Johnson, Auli'i Cravalho, Rachel House, Temuera Morrison;Comedy;76;810;107;3208810;2016
WALL-E;Andrew Stanton;Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard;;;;;;2008
Finding Dory;Andrew Stanton;Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson;Comedy;73;770;97;2674720;2016
Incredibles 2;Brad Bird;Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner;Comedy;76;800;118;2853760;2018
Raya and the Last Dragon;Don Hall;Kelly Marie Tran, Awkwafina, Izaac Wang, Gemma Chan;Comedy;73;750;107;1424000;2021
The Little Prince;Mark Osborne;Jeff Bridges, Rachel McAdams, James Franco, Marion Cotillard;Sci-Fi;64;;88;36270;2015
Arthur Christmas;Sarah Smith;James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent;Adventure;71;690;97;583450;2011
Antz;Eric Darnell;Woody Allen, Sharon Stone, Gene Hackman, Sylvester Stallone;Comedy;66;720;83;1536420;1998
A Bug's Life;John Lasseter;Dave Foley, Kevin Spacey, Julia Louis-Dreyfus, Hayden Panettiere;Comedy;72;770;95;2865980;1998
How to Train Your Dragon 2;Dean DeBlois;Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson;Comedy;78;770;102;3277540;2014
The LEGO Batman Movie;Chris McKay;Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes;;;;;;2017
How to Train Your Dragon: The Hidden World;Dean DeBlois;Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett;Comedy;74;710;104;1232270;2019
Frozen;Chris Buck;Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad;Comedy;74;750;102;6111990;2013
Big Hero 6;Don Hall;Ryan Potter, Scott Adsit, T.J. Miller, Jamie Chung;Comedy;78;740;102;4480050;2014
Shrek 2;Andrew Adamson;Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews;Comedy;73;750;93;4520460;2004
Tangled;Nathan Greno;Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman;Comedy;77;710;100;4403340;2010
Bolt;Chris Williams;John Travolta, Miley Cyrus, Susie Essman, Mark Walton;Comedy;68;670;96;2061560;2008
Onward;Dan Scanlon;Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer;Comedy;74;610;102;1414650;2020
Ralph Breaks the Internet;Phil Johnston;John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson;Sci-Fi;70;710;112;1546420;2018
Rango;Gore Verbinski;Johnny Depp, Isla Fisher, Abigail Breslin, Ned Beatty;Comedy;72;750;107;2579500;2011
Shrek;Andrew Adamson;Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow;Comedy;79;840;90;6596710;2001
The Peanuts Movie;Steve Martino;Noah Schnapp, Hadley Belle Miller, Mariel Sheets, Alex Garfin;Comedy;70;670;88;454650;2015
Wreck-It Ralph;Rich Moore;John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch;Comedy;77;720;101;4117970;2012
Kung Fu Panda;John Stevenson;Jack Black, Angelina Jolie, Jackie Chan, David Cross;Comedy;76;740;92;4560670;2008
Captain Underpants: The First Epic Movie;David Soren;Kevin Hart, Ed Helms, Nick Kroll, Thomas Middleditch;Comedy;62;690;89;279420;2017
The Bad Guys;Pierre Perifel;Sam Rockwell, Zazie Beetz, Marc Maron, Awkwafina;Comedy;69;640;100;125290;2022
A Monster in Paris;Bibo Bergeron;Adam Goldberg, Catherine O'Hara, Danny Huston, Bob Balaban;Sci-Fi;67;;90;210120;2011
