Title;Director;Cast;Genre;IMDB_Rating;Metascore;Runtime;Votes;Year
The Loved Ones;Sean Byrne;Xavier Samuel, Robin McLeavy, Jessica McNamee, Victoria Thaine;Horror;66;730;84;405320;2009
Evil Dead 2;Sam Raimi;Bruce Campbell, Sarah Berry, Dan Hicks, Denise Bixler;Horror;;;;;1987
Raw;Julia Ducournau;Garance Marillier, Ella Rumpf, Rabah Nait Oufella, Laurent Lucas;Drama;70;810;99;744040;2016
The Evil Dead;Sam Raimi;Bruce Campbell, Ellen Sandweiss, Betsy Baker, Hal Delrich;Horror;74;710;85;2037270;1981
La llorona;Jayro Bustamante;María Mercedes Coroy, Sabrina De La Hoz, Margarita Kénefic, Julio Diaz;;;;;;2019
Nosferatu;Werner Herzog;Klaus Kinski, Isabelle Adjani, Bruno Ganz, Roland Topor;Horror;79;;94;953710;1979
Creep 2;Patrick Brice;Mark Duplass, Karan Soni, Patrick Brice, Desiree Akhavan;Drama;64;750;78;250750;2017
Green Room;Jeremy Saulnier;Anton Yelchin, Imogen Poots, Alia Shawkat, Joe Cole;Drama;70;790;95;1197940;2015
Midsommar;Ari Aster;Florence Pugh, Jack Reynor, William Jackson Harper, Will Poulter;Drama;71;720;148;2868230;2019
House of Wax;Andre de Toth;Vincent Price, Frank Lovejoy, Phyllis Kirk, Carolyn Jones;Horror;54;410;113;1229140;1953
Drag Me to Hell;Sam Raimi;Alison Lohman, Justin Long, Lorna Raver, Dileep Rao;Horror;66;830;99;1997270;2009
A Girl Walks Home Alone at Night;Ana Lily Amirpour;Sheila Vand, Arash Marandi, Marshall Manesh, Mozhan Marnò;Horror;69;810;101;348650;2014
His House;Remi Weekes;Wunmi Mosaku, Sope Dirisu, Matt Smith, Cornell John;Drama;65;720;93;390180;2020
Ready or Not;Matt Bettinelli-Olpin;Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny;Comedy;68;640;95;1410060;2019
Tigers Are Not Afraid;Issa López;Paola Lara, Ianis Guerrero, Rodrigo Cortés, Hanssel Casillas;Horror;69;760;83;73020;2017
Mandy;Panos Cosmatos;Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy;Comedy;71;;15;13450;2018
It;Andy Muschietti;Jaeden Lieberher, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard;Drama;68;;192;1249220;2017
Don't Look Now;Nicolas Roeg;Julie Christie, Donald Sutherland, Hilary Mason, Clelia Matania;Drama;72;950;110;550010;1973
Cat People;Jacques Tourneur;Simone Simon, Kent Smith, Tom Conway, Jane Randolph;Horror;62;610;118;210460;1942
The Birds;Alfred Hitchcock;Rod Taylor, Tippi Hedren, Suzanne Pleshette, Jessica Tandy;Drama;77;900;119;1852670;1963
The Wailing;Na Hong-jin;Kwak Do-won, Kunimura Jun, Hwang Jung-min, Chun Woo-hee;Drama;74;810;156;651370;2016
Dead of Night;Cavalcanti;Mervyn Johns, Michael Redgrave, Roland Culver, Mary Merrall;Horror;76;;77;125040;1945
Under the Shadow;Babak Anvari;Narges Rashidi, Avin Manshadi, Bobby Naderi, Ray Haratian;Horror;68;830;84;271590;2016
Host;Rob Savage;Haley Bishop, Jemma Moore, Emma Louise Webb, Radina Drandova;Horror;65;730;57;275760;2020
10 Cloverfield Lane;Dan Trachtenberg;John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin;Drama;72;760;103;3165900;2016
Peeping Tom;Michael Powell;Carl Boehm, Moira Shearer, Anna Massey, Maxine Audley;Horror;76;;101;348250;1960
The Witch;Robert Eggers;Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw;Drama;69;830;92;2442690;2015
The Cabin in the Woods;Drew Goddard;Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz;Horror;70;720;95;4072660;2011
Repulsion;Roman Polanski;Catherine Deneuve, Yvonne Furneaux, Ian Hendry, John Fraser;Horror;76;910;105;526210;1965
Eyes Without a Face;Georges Franju;Pierre Brasseur, Alida Valli, Édith Scob, Juliette Mayniel;;;;;;1959
Rosemary's Baby;Roman Polanski;Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer;Drama;80;960;137;2108230;1968
The Silence of the Lambs;Jonathan Demme;Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine;Drama;86;850;118;13850890;1991
The Invisible Man;James Whale;Claude Rains, Gloria Stuart, Henry Travers, William Harrigan;Drama;71;720;124;2164440;1933
Night of the Living Dead;George A. Romero;Duane Jones, Judith O'Dea, Karl Hardman, Keith Wayne;Horror;78;890;96;1259140;1968
It Follows;David Robert Mitchell;Maika Monroe, Keir Gilchrist, Daniel Zovatto, Jake Weary;Horror;68;830;100;2333490;2014
Let the Right One In;Tomas Alfredson;Kåre Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl;Drama;79;820;114;2146340;2008
Hereditary;Ari Aster;Toni Collette, Gabriel Byrne, Alex Wolff, Ann Dowd;Drama;73;870;127;2923990;2018
Vampyr;Carl Theodor Dreyer;Julian West, Henriette Gérard, Jan Hieronimko, Maurice Schutz;Horror;74;;75;178760;1932
