ID;Title
8961;Bad Boys II
82703;Mr. Peabody & Sherman
274;The Silence of the Lambs
37233;The Firm
116711;Epic
3170;Bambi
4327;Charlie's Angels
861;Total Recall
57201;The Lone Ranger
37686;Super 8
116149;Paddington
5174;Rush Hour 3
11199;Wild Hogs
11887;High School Musical 3: Senior Year
44264;True Grit
2300;Space Jam
12289;Red Cliff
508;Love Actually
2486;Eragon
109451;Cloudy with a Chance of Meatballs 2
712;Four Weddings and a Funeral
44896;Rango
754;Face/Off
1927;Hulk
196;Back to the Future Part III
82700;After Earth
22794;Cloudy with a Chance of Meatballs
97020;RoboCop
415;Batman & Robin
38745;Gulliver's Travels
82693;Silver Linings Playbook
584;2 Fast 2 Furious
4935;Howl's Moving Castle
644;A.I. Artificial Intelligence
65754;The Girl with the Dragon Tattoo
409;The English Patient
11665;Get Smart
43074;Ghostbusters
1250;Ghost Rider
10719;Elf
40805;The Green Hornet
606;Out of Africa
37958;Immortals
32657;Percy Jackson & the Olympians: The Lightning Thief
60304;Hansel & Gretel: Witch Hunters
1701;Con Air
628;Interview with the Vampire
1538;Collateral
4964;Knocked Up
44912;Green Lantern
109424;Captain Phillips
75780;Jack Reacher
1495;Kingdom of Heaven
49017;Dracula Untold
11678;Vertical Limit
27022;The Sorcerer's Apprentice
2024;The Patriot
138103;The Expendables 3
11322;Public Enemies
2501;The Bourne Identity
146;Crouching Tiger, Hidden Dragon
197;Braveheart
1844;Entrapment
1493;Miss Congeniality
698;Moonraker
1933;The Others
1900;Traffic
820;JFK
117251;White House Down
41515;Yogi Bear
1903;Vanilla Sky
136797;Need for Speed
12429;Ponyo
64688;21 Jump Street
535;Flashdance
1669;The Hunt for Red October
2253;Valkyrie
76285;Percy Jackson: Sea of Monsters
39514;RED
80278;The Impossible
81005;Jack the Giant Slayer
4547;Panic Room
2310;Beowulf
4614;The Sum of All Fears
3131;Gangs of New York
533;Wallace & Gromit: The Curse of the Were-Rabbit
2907;The Addams Family
708;The Living Daylights
11395;The Santa Clause
846;The X Files
1370;Rambo III
116745;The Secret Life of Walter Mitty
700;Octopussy
699;For Your Eyes Only
547;The Horse Whisperer
10865;Atlantis: The Lost Empire
388;Inside Man
44826;Hugo
691;The Spy Who Loved Me
13183;Watchmen
408;Snow White and the Seven Dwarfs
76757;Jupiter Ascending
50359;Hop
1970;The Grudge
679;Aliens
14560;Paul Blart: Mall Cop
62764;Mirror Mirror
10756;The Haunted Mansion
503;Poseidon
11024;Scooby-Doo 2: Monsters Unleashed
4147;Road to Perdition
824;Moulin Rouge!
13027;Eagle Eye
9619;Dante's Peak
11619;Flushed Away
57212;War Horse
79;Hero
11618;The Haunting
10808;Dr. Dolittle 2
10603;George of the Jungle
2698;Evan Almighty
49530;In Time
4232;Scream
2289;Cold Mountain
855;Black Hawk Down
1372;Blood Diamond
686;Contact
7191;Cloverfield
27581;The Other Guys
4380;Shall We Dance?
10996;Stuart Little 2
38317;Zookeeper
